Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Everything To Everyone,Everclear,spotify:track:1ehYgygYqN9SRpTMYT1zYV
Don't You Want My Love,Jomanda,spotify:track:0P2Md6CAVF34UOFa3FL4D3
Panic In Cicero,The Jesus Lizard,spotify:track:0lEvuxbPvCRPPddI564riO
Jeremy Parker,Swirlies,spotify:track:0pVgFjjojISSczzmj66FTA
TausendfÃÂÃÂ¼ÃÂÃÂler,Embryo,spotify:track:1V7dpf74ft56Ws6KIe9uSR
I Fought the Law - Single Version,The Bobby Fuller Four,spotify:track:6Um3XCAxl9YfFmAnGl93xc
Red Red Wine,UB40,spotify:track:3YdgxvbJckLf7FoFQXAEmh
Contaigious,The Strikers,spotify:track:1Dm163naO9giWajZvrZou6
All Mixed Up,311,spotify:track:18ZOH3KKu5Elt5ysocFyX4
The Impression That I Get,The Mighty Mighty Bosstones,spotify:track:1ru5R5iSawvuMELqKXxLjS
The Finest Drops - The A List Version,Wire,spotify:track:5nU3ZHxoKRdEUPCJ8rfrsA
Meatblower!,Bunnygrunt,spotify:track:1mb9WgUkTchtpi7asHFvg2
Austin Pickers,Gary P. Nunn,spotify:track:300WQSf1EJ0FWtqCdgdHGb
Shadowboxer,Fiona Apple,spotify:track:0XMzFZgFvEqH2nEa3iwNUD
Lo Dudo,Los Panchos,spotify:track:3aWZmsxvmfcLl3cuWWno0r
This Girl's in Love with You,Dionne Warwick,spotify:track:4FmTzEfNlGfeFfPQND2ezc
Stella By Starlight,Grant Green,spotify:track:4O4gPHr4q2gT7d5umAjwGk
Shoot Your Best Shot,Linda Clifford,spotify:track:0k9ZcwpH4Lhneq7ziDst8D
Flat Beat,Mr. Oizo,spotify:track:3JPcICirkAw4TLp9UzEcfl
Caterpillar - Flicker Mix,The Cure,spotify:track:1KajuEci1IUjHl7t15rfPn
Rainbow,Bobby Callender,spotify:track:0dlA1UuWQMR9Ul6fnEfHIF
Between the Lines,Bullet Lavolta,spotify:track:0qKYLUl3uOHEHXbmxtooXS
No Face,The Suicide Machines,spotify:track:4EYjXjsii9P7q0v775lPR5
Careless Whisper,George Michael,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY
Sunset Now,Heaven 17,spotify:track:2J2FS4xCQjpOlGYuAQNrmv
Something Good,Utah Saints,spotify:track:22AvpWbOtNTiem8jKDk8QO
Tell Me When The Fever Ended,Electribe 101,spotify:track:0wwVsvH3smGz0ZVanam4n1
Dammit,blink-182,spotify:track:6WkSUgo1VdpzgtiXKlFPcY
Here Comes The Sun - Extended Version,Fat Larry's Band,spotify:track:4c8JZipTtVYMoAG35Unxs6
Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox
Big Mouth Strikes Again,Treepeople,spotify:track:1btbx2FxPzaexX3PkPkyeG
Regulate,Warren G,spotify:track:7nYvUtkQMx1v80S2FH2s9J
Nothing Natural,Lush,spotify:track:6zrL6etENCa2ZEwnPcxGkb
Lake Of Fire,Nirvana,spotify:track:3aKJVWH2QOsaMtiCLxYHZX
Astronaut,Versus,spotify:track:6caSSeYqfxc3QCU3OUw91x
Love's Train,Con Funk Shun,spotify:track:5ReLn6xM8EtJkIFpv3tfmE
Rammstein - Edit,Rammstein,spotify:track:7Kl8hfSH4uG9nEFTkA5CNG
Smooth Operator,Dorothy Dandridge,spotify:track:7lVgQ0hCkoPBn1YFlXHU6J
Father Of Mine,Everclear,spotify:track:4N2utzbudidhsWZLpdHb2U
Dizz Knee Land,Dada,spotify:track:4yYaokH8Owb9bBq84Eba57
As A Matter Of Fact - 7 Version,Spare Snare,spotify:track:3slpvlPrz7Q7b7cwGeYpni
Weisses Fleisch,Rammstein,spotify:track:0ydEdAQOjO1PuHCqpmTUx8
Sehnsucht,Rammstein,spotify:track:3oWFQPp5lL5x907hCcCRa9
If I Can't Have You,Yvonne Elliman,spotify:track:0QjPiq9Wka9I1b4uzWETYI
That's How I Got To Memphis,Tom T. Hall,spotify:track:0iXWkPJwd1cTGrVVfkS2et
Pushit,TOOL,spotify:track:4CbHM5bpfOfMNxNgVDHJRw
Piranha,Tripping Daisy,spotify:track:1vqw24tqUeqKtTA8fiPccF
Sugar Bridge - It Will Stand,The Bluebells,spotify:track:7swT0eJtJ2GfDMeSgTYTIO
Live It Up,Time Bandits,spotify:track:12uFOiQSZ6IsrFLIb6Bxwj
Me & You & A Dog Named Boo,Lobo,spotify:track:6xRRGT4oWLhMI05m2z45w3
Three Coolchicks,The 5.6.7.8's,spotify:track:28NhullkgC7j9Ucs2PqKGY
Carmelita Skiffle - Live,Nick Gravenites,spotify:track:4WnFkT2Dt54lMKWqWzGBXu
Canto Ossanha,Duke Pearson,spotify:track:00uJtP5NKKiHvzlaSQDu2r
High,Feeder,spotify:track:1sU5JRVjqvmiNfSiPofZfd
Buddy Holly,Weezer,spotify:track:3mwvKOyMmG77zZRunnxp9E
Welcome to the Fold,Filter,spotify:track:7HFCovMwZIinGBpoZyUsKC
Anytime,Brian McKnight,spotify:track:7xz99lquzxyET2QZztic4g
Flat Beat - Radio edit,Mr. Oizo,spotify:track:4ek71wqDqmg2nrPHpFNRnU
Rattled By The Rush,Pavement,spotify:track:3CAuAo2rlsdCclQbzKJpAm
Find a Way,A Tribe Called Quest,spotify:track:2MAaiV0bbeq4FpSwPe2rR8
Du hast,Rammstein,spotify:track:3cwDSDzTiWr5H5xMQhQ6Mx
Ex-Cowboy,Mogwai,spotify:track:3S8oIwd7JLsVwAQAtFZh2c
Goin' Out Of My Head,Little Anthony & The Imperials,spotify:track:59sN2XKuaRfT98xMvhSctl
Divine Hammer,The Breeders,spotify:track:4kHg1mwK390WCePxUeSNzb
Nothin' To Do,The Dandy Warhols,spotify:track:22gaKGOIYIjfmlrBsWHyMf
Tu Amante o Tu Enemigo,Miguel Gallardo,spotify:track:2xFcw6Oo4FsrO22fj1O8SA
Put Your Head On My Shoulder,Paul Anka,spotify:track:2inry9gZX0A8bv2yNPDCtg
I Fought the Law,The Bobby Fuller Four,spotify:track:2XOpZ2wkHPA2vxKO0FgdBg
The Sea,Morcheeba,spotify:track:7MRI6ZNv3neLVYy2kQ91nQ
What A Wonderful World - Single Version,Louis Armstrong,spotify:track:2pp3RfqX5cb1BAnmNi4Nej
Revenge,The Others,spotify:track:6bnV2qC1Gz56bTHg1kOzxw
I'm Beginning To See The Light,Della Reese,spotify:track:0pjH35qYR6CaXCfXszUvYj
The Millionaire,Billy J. Kramer,spotify:track:1rInMdH9YW6kJQU1fLceAK
Stranger Than Fiction,Bad Religion,spotify:track:3Hye5J1bbPyhGBWeoUv9ZF
Everyday - Single Version,Buddy Holly,spotify:track:5MMU5J8jtVDZiryukBeruJ
Are You Still in Love with Me,Keith Washington,spotify:track:1UMbvGlLxBZp2WZOi9TwgF
I'm Ready,Royal Trux,spotify:track:5yVMq7huSox5QNYYUG5Q2R
"My Boyish Days - 12""",Care,spotify:track:6Uzj4Dbp6AIZSH9h17p5Di
Wednesday Addams' Boyfriend,Tall Boys,spotify:track:3lvolSxuJ7UYxCd2D9mUnJ
Hey Senorita,The Penguins,spotify:track:4Glf7Hbi4w2PQ1cdTSZ7Hc
Kiss and Say Goodbye,The Manhattans,spotify:track:6roaUdrIQUlTcujSFLtYKI
Pardon Me,Incubus,spotify:track:1Y13csEpu3TK5gQdzGLrd8
Shine,Collective Soul,spotify:track:1HZ3cUZUw5htSFmah1V8Ko
Battleflag,Lo Fidelity Allstars,spotify:track:1PI6HcPT1Wx9hTLdTvMwv7
My Heart Belongs To Daddy,Della Reese,spotify:track:0CCc9OhPxmJzpD0DTPTJCh
Dreams,The Cranberries,spotify:track:7b5u0BAnfJRvjWFS7Ue7bU
Full of Fire,Shalamar,spotify:track:5R5PNhELQRDNSlRWElQvkH
In And Out,Willie Hutch,spotify:track:39RhM4Wkw0CMsw77kTWoMl
Follow You Down,Gin Blossoms,spotify:track:5yVqBhvmi3sBahhaSYpl27
It's My Life,The Animals,spotify:track:2Uab83g0cf6PKsbuBqv6gF
Supernatural,Splender,spotify:track:1QrEOjnNfb5Bbfk6gpNjiX
Turn Your Love Around,George Benson,spotify:track:2QvqY0iSduwzUq9tchHPNJ
Return to Serenity,Testament,spotify:track:5awljpWNO5TpXCyjpvCBbs
Chinchilla,The Drifters,spotify:track:1rxWgTm5AbHXALoSGG3foU
Engel,Rammstein,spotify:track:0xrkyEMkG4dVa5OMLQZOX8
Don't Cry (Original),Guns N' Roses,spotify:track:0ZEhlT9v8CdOKu55zhYGv9
Havalina,Pixies,spotify:track:1vE3ciwUpbFnjwMJLp4zjg
Baked Beans And Chicken,Daytonas,spotify:track:2RUD5JSqQP6eWuAtqN9AnT
Evil Ways,Willie Bobo,spotify:track:6LoiJXXZuZejbG6VjmjzA4
Let's Get Rocked,Def Leppard,spotify:track:74fwEVZtBveVqNuuvYKRNN
Stone Love,Kool & The Gang,spotify:track:5kXdgcbbPz5goSG4nstBtZ
Time,Alcohol Funnycar,spotify:track:5DSAwR2FIzTIsMOkuxMZdm
California (All the Way),Luna,spotify:track:1B8hYc78Uzh1FxK3wJ8GnP
The Watusi,The Vibrations,spotify:track:5hleF20R6SrI99rz269cSS
Miserable,Lit,spotify:track:2zLZuZFgf4mn3af8wILpHS
Where Evil Grows,The Poppy Family,spotify:track:7hYzT3JiWEqZzFy8t8O1FH
The Unforgiven,Metallica,spotify:track:5SnOyuBtyzufoXBAKOdcxD
The Pied Piper,Crispian St. Peters,spotify:track:7rJexCt1wAsP2VacX4JGrT
Say It Ain't So,Weezer,spotify:track:6VoIBz0VhCyz7OdEoRYDiA
All Day and All of the Night,The Remains,spotify:track:7ISfHKinKsCqvMEO5Mthsv
The Rain (Supa Dupa Fly),Missy Elliott,spotify:track:2WRzpLD8qDRrxMXc63E5WJ
Live And Let Die,Guns N' Roses,spotify:track:04MNKrAnzrHDUzuXAtNoLr
You're Driving Me Insane,Missing Links,spotify:track:0wFE2hbFrXt2FrcwC584Iz
You Are The One,TKA,spotify:track:4Jqw3L02yfNMfrxYIfr8Gd
Engel,Rammstein,spotify:track:0xQZkTxb49QpopIZQhKJUY
Stand,MotÃÂÃÂ¶rhead,spotify:track:0kCs6o94q5qjyD3ARpNvms
Johnny B. Goode,The Remains,spotify:track:0dDKdNd0ABPorHyjnJ3Pni
Rafael,Seam,spotify:track:408pVVJ5gM5kHHaxFEXMqe
Manchurian Beat,The Desmounts,spotify:track:11ERNGFopBYa1yBqYeB8Dp
Sweetness And Light,Lush,spotify:track:577LINEVunl9HDxC4vxuAx
WILD WEST HERO,Electric Light Orchestra,spotify:track:3GSDA8zHq3YFd6gEv4LbHd
Love Like Blood,Killing Joke,spotify:track:1zkQJfNo2KpqqCKOOvWPF4
Breadfan,Metallica,spotify:track:5SZQ45ZPS89NEBrfromaCq
Fragile X,Janitor Joe,spotify:track:5d381ohoJJp4QLLWHYyg4G
Top Pocket Man,Chavez,spotify:track:7qpnEJHEw0odeWctIWNA9j
a) STRA (Illusions Of My Childhood-Part One) b)You Keep Me Hanging On c) WBER (Illusions Of My Childhood-Part Two),Vanilla Fudge,spotify:track:53wzLGt39mLri3icn6YLbA
Beautiful Ones,The London Suede,spotify:track:1H2MJXZAPSYNOfmnyE3kcD
Fuzzy,Grant Lee Buffalo,spotify:track:0cJ6ZvI6O9bYWgCV7rhL8N
Laisse tomber les filles,France Gall,spotify:track:6ZIkH0yQk0E5hfOVL7CyoQ
Badfish,Sublime,spotify:track:49Ib9r9uGkI6HdoucFXfID
Jane Says - Live,Jane's Addiction,spotify:track:1atCEBZJgOcoajj0sWzn1x
The Twelfth Of Never,Donny Osmond,spotify:track:2uM6Jb8bGOmv7h7bh67JWY
The Mighty Quinn - Mono Version,Manfred Mann,spotify:track:3S9szCYtfki2pmLJdR8PVs
Who's Gonna Mow Your Grass,Buck Owens,spotify:track:5grRpSLH4tTlcDE8SUdKC9
New Skin,Incubus,spotify:track:2IhSud7gOBAOR5WXSs639r
The Tears Of A Clown,Smokey Robinson & The Miracles,spotify:track:43EnnDLiVJfFEN7Xlpyh93
Ring of Fire,Johnny Cash,spotify:track:5nAXp1Vypbcsk9RLJCJLvO
I Will Survive,Cake,spotify:track:4THrHKyBL0yaDDw9yg37Zk
Nothin',The Ugly Ducklings,spotify:track:7xtfsPJhKHYLWe8kQfnLA9
Let's Move and Groove Together,Johnny Nash,spotify:track:7utH4pVmFAmMpOmhq5YUYL
No Association,Silverchair,spotify:track:0lrY8m1pYczjiup6f0HhoR
Nothing Else Matters,Metallica,spotify:track:3ZFwuJwUpIl0GeXsvF1ELf
Astonishing Panorama Of The Endtimes - Album Version Explicit,Marilyn Manson,spotify:track:3mWtcD7VMgovl0g9fiZBdo
Kitty,The Presidents Of The United States Of America,spotify:track:4WamMWxFi6ts3xkIhivF5c
Wanna Girl,Jeremy Jordan,spotify:track:0vXl7B56G2vyHt1VGL4lcc
Flagpole Sitta,Harvey Danger,spotify:track:7cz70nyRXlCJOE85whEkgU
Something Is Happening,Herman's Hermits,spotify:track:6QYATdsvBZPSU5YJRXSkUi
I Want You Back,The Jackson 5,spotify:track:0PGwM5vdr5fMejx0IIAYXj
One Night,Elvis Presley,spotify:track:0gbe2ixID2kWDPMfJ1QPgX
Tax Free,Hansson & Karlsson,spotify:track:5v3qtS7tWLydQD7qbvkGXk
I Don't Want to Change the World,Ozzy Osbourne,spotify:track:4dwRny1mJtE5GYuASzQSUf
Part Time Punks,Television Personalities,spotify:track:4HIAtcFGSi6ZRnqxEhKFvA
L-O-V-E,Nat King Cole,spotify:track:4QxDOjgpYtQDxxbWPuEJOy
What Did You Learn In School Today?,Pete Seeger,spotify:track:0yku64vAg58YFYcCXxzvIg
Nausea,Therapy?,spotify:track:1akXxQrGVDvTw1An7Gd9el
She Ain't Going Nowhere,Guy Clark,spotify:track:75WQivypwbWNM6YLPiVoCv
Contact,Brigitte Bardot,spotify:track:3WTnxQFvbY5DhulNz7Z6pn
Build Me Up Buttercup,The Foundations,spotify:track:3XcuLPQb1LG13ZJEEa6wUI
Bad Seed,Metallica,spotify:track:5hkpPAJw5GLUvAs80aGEdT
Unchain My Heart,Nancy Wilson,spotify:track:7mrPGIjhcOsKdOF7Ajjf6r
Somethin' Else,Flamin' Groovies,spotify:track:4Z4RjnXjMHOrxrlvv0MYCG
The Girl Can't Dance,Bunker Hill,spotify:track:4GaCV1wVlwKBWfauxPUKzw
You Were on My Mind,Crispian St. Peters,spotify:track:1MngsbGbiex1qG7zhmz7hd
Andy Warhol,Treepeople,spotify:track:3uSvYxp7LFSiqfeOOZ94cl
Moody,ESG,spotify:track:5BeZELzAySW7mN4aHswS5I
I Been to Georgia On a Fast Train,Billy Joe Shaver,spotify:track:2jeI4q8dGWf0ynCLspebTZ
She Can't Love You,Chemise,spotify:track:5m2tbFHvChBEIRGBObZTVz
Just in Case You Wonder,The Ugly Ducklings,spotify:track:4fOOqMB2LMZOduUSeLwuBV
Good Lovin',The Olympics,spotify:track:0VpHIkmXGSIJ8phPcRfQBU
Cure,Metallica,spotify:track:7nCbY78AePDycLhcFgKDIA
Many Rivers To Cross,Jimmy Cliff,spotify:track:5AqFuWrPbExvMT3FJQrIvd
Tears Run Rings - The La Magia Dance Mix,Marc Almond,spotify:track:6KhEV2PzPeI6eNXo5RBuS7
Jumper - 1998 Edit,Third Eye Blind,spotify:track:3354J49VpkbZJho7Ztdzpw
La Nave del Olvido,JosÃÂÃÂ© JosÃÂÃÂ©,spotify:track:0yLY4czSNJdG9EIRGyt7BE
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:0p005IFxS4eFfXNk0m7jjM
Your Star Is Killing Me,Chisel,spotify:track:1qWb5aNix6FisJqqDYrHsR
No 1/2 Steppin,Shanice,spotify:track:2k9Zv2L4kq2yq0wT2Yxoy5
Chemical Bomb,The Aquabats!,spotify:track:2CLG8mc1f4Ottpgf0YoCYK
There But for the Grace of God Go I,The Gories,spotify:track:0pDMnocBxXOPjBiTfYr8bl
Full Circle,Collective Soul,spotify:track:0MUIYwMzUzEGchfIfsriJK
Footpattin' Time - Live,Lou Donaldson,spotify:track:08meDdGMWgRGVdTnMBQq9N
My Best Friend,Talulah Gosh,spotify:track:1KHyqAqDBFgstEqBRT2cDe
Lovesong - Extended Mix,The Cure,spotify:track:6BcnFPbYP63PjedyBMWiQD
Good Golly Miss Molly,Little Richard,spotify:track:1s1kY9duH0g4jKHrxxjTkX
Lovesick Blues,Frank Ifield,spotify:track:2PWQbNVjTfZMk9KwY8cpxy
I Want To Hold Your Hand,Grant Green,spotify:track:0OKrqpR7de2s6TTXYnbGyO
Evangeline,Cocteau Twins,spotify:track:37oqhUQMmKVR07fV8bFkEI
The Hippy Hippy Shake,The Swinging Blue Jeans,spotify:track:4LddAerqROEdlx1GF1bcVd
Don't Give Me Your Life - Radio Version,Alex Party,spotify:track:6zTUlTbwdSVC61yrNY0SfS
Love Bowl,Dr. Lonnie Smith,spotify:track:5wyfXtRDzEFtVJKXrvhR6l
Telefone (Long Distance Love Affair),Sheena Easton,spotify:track:1ubcQSjkMnrwwqGVeDJBIW
Sweet Caroline - Single Version,Neil Diamond,spotify:track:6l7tK5SsMlN8a9ccgeIkpS
Mexican Hairless,Toadies,spotify:track:6wPA3Eplol740Hftfbu3nY
Sukiyaki,4 P.M.,spotify:track:0cBQbqp5jInL73ZxLBSGlX
It Should Have Been You - Larry Levan Mix,Gwen Guthrie,spotify:track:0TZppSbfCSbfLOKAgNkrUm
Dissidents (The Search For Truth Part 1),Thomas Dolby,spotify:track:3jEDloe4GAR2rYZ8MTExeL
San Francisco Beat,Brian Bennett,spotify:track:5o7HLV8nu1jjttwfnYAVxf
Fuck And Run,Liz Phair,spotify:track:6Em7i85XSDX3M2ZtKz1BIO
The Mexican,Babe Ruth,spotify:track:0FFbJzXvag9ZRel7oNa1wU
These Memories - 12'' Mix,Oh Romeo,spotify:track:1ChDHw6IsxcaFdzlqVqTEi
Fuel,Metallica,spotify:track:0NdidkH0EQwG7mx6F6SDkI
Just,Radiohead,spotify:track:4SE81CrzH0qPA8KHqM9Syz
Say It,Voices of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw
I Think It's Going To Rain Today,Dusty Springfield,spotify:track:6eLAxAuhLkwCVJebqev16O
Cherchez Pas,Madleen Kane,spotify:track:6O4wR4y8yWu9acS5sJJcVN
Einstein On The Beach (For An Eggman),Counting Crows,spotify:track:3jMdBFUEvxVlwFka0lXuTs
Push It,Static-X,spotify:track:6O7pihLJgeqxUnG7u9oYL2
Surfin' Bird,The Trashmen,spotify:track:19uIXB2GaFqNcKPSrmjnvw
Only When I Sleep,The Corrs,spotify:track:36DztiNpSIH5ZHTwmqthHW
Mmm Mmm Mmm Mmm,Crash Test Dummies,spotify:track:3NDTh0ZPIG2zY2VUJ8jG3L
Feed the Tree,Belly,spotify:track:3L19vBWH4jTHNXbuBaHbUN
"Snap Your Fingers, Snap Your Neck",Prong,spotify:track:7hgtn706RqLE5q1mWe8aQx
Super Bon Bon,Soul Coughing,spotify:track:1njobA8NxcOtPIbLdrip0T
A Walk,Bad Religion,spotify:track:5hSqYDZhfykxlSb6jBEA4A
Ocean Club,Yello,spotify:track:47AX4BU8ozjErjGVYcKMt0
Hooked on You - Version #2,Sweet Sensation,spotify:track:5zZjREAyBUbcG6IKS1fsWE
Right Turn Clyde,Circus Lupus,spotify:track:7juEbjBFRVYNYP9DxrkeSd
I Got You Babe,Sonny & Cher,spotify:track:2SWBfqj1FrS8t8z56G55rP
Love And Mercy,Brian Wilson,spotify:track:0S3izfZXcQAO6uoVN9mQvn
The Gods Made Heavy Metal,Manowar,spotify:track:3sov9pR02rdD3Ssjcin6Nw
Silence Is Golden,The Tremeloes,spotify:track:0tY6WuVkmCth6YHl8xKrew
Keep An Open Mind Or Else,McCarthy,spotify:track:0NAuHYn4NyWEsbrCeXbltT
If I Say Yes,Five Star,spotify:track:7ajCddd4v6rYvmixeVIklF
Policeman's Ball,Mint Tattoo,spotify:track:167xZuoe7d6ZrqRbU3bRRW
Guilty,Gravity Kills,spotify:track:4YhqUU66bIqBapat2XD1Cg
Kellogg's Jingle,The Monkees,spotify:track:6plw0GfBMqdkfuDLtkC7Qv
Girlfriend,Matthew Sweet,spotify:track:338gPBomyqx33wfeF1AGOd
Killing Time,Metallica,spotify:track:79jUl01f1buubdFH8Hm8Bf
I Wanna Dance,Kat Mandu,spotify:track:7ImTiGCFFItPGPLkwhqgbz
Naturally Stoned,avante-garde,spotify:track:4fqvAq92iC1XWcP71cT7Rm
Anything - 2008 Version,Third Eye Blind,spotify:track:16Wr4dUpjdpCRqIljtkBNF
Jerk-Off - Live,TOOL,spotify:track:3jK6mKpZLZSIPZRNCYIm3Q
A Brand New Groove,Faine Jade,spotify:track:2n6kOVh9tf7couhN5DUdCY
Weather With You,Crowded House,spotify:track:6tXnRSvuNgOq4QcxpIN54r
Splat,Bailter Space,spotify:track:39lvgZ6SVsnQjJduSiE4ud
How Do You Feel,Vanessa Daou,spotify:track:4PAHPSYyYRpsKRyGO2Bu4m
Papal Breakdance,Psychic TV,spotify:track:5eWkmBjElZzBwgaDIikBUN
Get A Shot Of Rhythm & Blues,Flamin' Groovies,spotify:track:13zwMGqtIB5C0DAolhokmw
The Dandy Warhols' T.V. Theme Song,The Dandy Warhols,spotify:track:3jSYA3qt806ezJdVvvaklD
Dancing In The Street,David Bowie,spotify:track:7HGdOQefQY53tEZf5WBjlC
Absolute Beginners,David Bowie,spotify:track:1nK1ZD2IxDdThavNbfZhX6
Eighties,Killing Joke,spotify:track:3bmdzcKPdbP32AUUF9hQUP
Domination,Pantera,spotify:track:769cLRTw2y6KRdkFWFkxtu
Miss You Much - Slammin' R&B Mix,Janet Jackson,spotify:track:1ICXGCxQqOhJurHVg2QrXq
The Only One I Know,The Charlatans,spotify:track:17hdos7cv1vAvcfoTU4Pym
Velouria,Pixies,spotify:track:5RZX2iTXYE836twtGrXLST
Goodbye Sky Harbor,Jimmy Eat World,spotify:track:0xQXxwlG5KBXycQmcWDW3v
Stay,Maurice Williams,spotify:track:5IVaPiiBCUgsNp3kWeU5c2
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,spotify:track:0GiWjFOVWv3mVaNCxkgqlq
Surrender Your Love (feat. John Reid) - MK Radio Edit,Nightcrawlers,spotify:track:6ydsGIVXGqo4kXvgASZjbz
Twilight - Instrumental,Maze,spotify:track:1iNvN5QnUV9B9t48rKxopr
Music Stop,The Railway Children,spotify:track:6DXNQbBSosIIbXlg0EVJNq
"I'm Still Sad - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:7KHF4qE2jB6YVZW5fqfpkD
I Heard It Through The Grapevine - Single Version,Gladys Knight & The Pips,spotify:track:2xAUlBlUs3sCv81nHHcmGM
Is It Like Today?,World Party,spotify:track:2KtRbxfn4BjegQCqLeCocu
Talkin' 'Bout the Smiling Deathporn Immortality Blues - Everyone Wants to Live Forever,The Flaming Lips,spotify:track:0utaBxvfOf3YJQaKaBZIsg
Head Over Heels,The Go-Go's,spotify:track:1p46bniF6fC9kT1v5yjJOI
Foot Tapper,The Shadows,spotify:track:1nP6YO1N482kmFzZUrwP8L
Jerry Was A Race Car Driver,Primus,spotify:track:6eksnQsyuCDmSEd9LyXLgA
Bottle Rocket,Heatmiser,spotify:track:2AhohgwAbROombPiAqB8Ly
Pancake,Swirlies,spotify:track:00YCRrySf0dJ6nRCKYSAkA
We All Die,Cat Power,spotify:track:6yrcsqF3nKkpMjC3FKSZEG
Big Train,Mike Watt,spotify:track:3UyjaGK7LDyvfpcVu2ukj5
I'm Ready For Love,Martha Reeves & The Vandellas,spotify:track:0eNAT4cgU1HC2J66q5rtn9
Not Sleeping Around,Ned's Atomic Dustbin,spotify:track:3IOnJKnYLNqIjAdonUhyZh
The City,Dismemberment Plan,spotify:track:2mWJVuJsQIFg0fnRYcD8zz
Late At Night,Buffalo Tom,spotify:track:277JGlZm8LMtOn8rCLQ1ho
En avril ÃÂÃÂ  Paris,Charles Trenet,spotify:track:69wlvWhR1yB5riAQyvLZ88
Don't Make Me Wait,NYC Peech Boys,spotify:track:2XtQSMq3dIcyGycCYFrRKV
(He's) The Great Imposter,The Fleetwoods,spotify:track:5S96nzXyrDBAwDNfgUwvWW
Manhattan,Eric Johnson,spotify:track:21i2hxJAkQCWlSWejTkN0T
You Wanted More,Tonic,spotify:track:4328LiswXNpXdT57eYFFJN
Dig Me Out,Sleater-Kinney,spotify:track:1TvXbNhFRbrp1SIenQ2NHM
Common People,Pulp,spotify:track:2fXKyAyPrEa24c6PJyqznF
Dance of Maria,Elias Rahbani,spotify:track:4Pz6wlElvVe3JsLaRsj6kW
Cold,At The Gates,spotify:track:3JRmeCjOaBqRCvzwCx9MNh
The Keys to the Car,Michael Nesmith,spotify:track:0tGDOLyVhj1eRt8kIWHYUN
Me and You and a Dog Named Boo,Lobo,spotify:track:3wRiwV9HdarzkktRH7If46
Olsen olsen,Sigur RÃÂÃÂ³s,spotify:track:0S9w3jx4cO9rSBcGwB16in
Nature's Revenge,Skinny Puppy,spotify:track:5Iel4QEdVAKH8Mb6ktwJKw
Twin Falls,Built To Spill,spotify:track:2YgYfrDOn9w6QwFGzNVJxB
Synaesthesia,Chris & Cosey,spotify:track:2eJK7emQh1QLFsRLWOJcUg
She's Not There - Mono,The Zombies,spotify:track:2HB6dnlkue4eJhtdK72Chc
Airegin - Alternate Take,Grant Green,spotify:track:0Lmluy5mcvLRW2822p1OoJ
Monster Jam,Spoonie Gee,spotify:track:5YZY9X9V2i8WTosIL0sZSL
Where's Bill Grundy Now?,Television Personalities,spotify:track:7vPaq9U0ISBqCPiEd0moxE
Angel City,MotÃÂÃÂ¶rhead,spotify:track:427SKJm1VAa72tcibl4ir4
Magic Carpet Ride,Steppenwolf,spotify:track:5HRL78OfxCYsDQtRYsBF4T
Slave To The Music,Twenty 4 Seven,spotify:track:2QzyjSN4WlRHMFfN3r6Ca3
I'm Always Drunk In San Francisco (And I Don't Drink At All),Nancy Wilson,spotify:track:75v6Iil3NwEyac1y3EBKi3
Stormy Weather,Pixies,spotify:track:2V1J79iYyto4A6jYx6JSDL
This Land Is Your Land - Live,Pete Seeger,spotify:track:2LPuqu3kmr3elpDdVIa8zm
Tutti Frutti,Little Richard,spotify:track:2vXk7PcNLLXsdnVaoMxzTj
N 2 Gether Now,Limp Bizkit,spotify:track:5SEBSAio1N77Vbrj1cAEGb
Fagetarian And Dyke,Team Dresch,spotify:track:7hOxefWc2fvRnmK1vknSjP
High,Jimmie's Chicken Shack,spotify:track:2PmYWe7v0hJ6XJjeM2pDQp
Ready Teddy,Little Richard,spotify:track:5yJOiThnWVufuoTJuuYCoo
Popular,Nada Surf,spotify:track:48sJGpBLqQTs0sZ2ImHJof
A.M. 180,Grandaddy,spotify:track:1nMTZpPK7y79YmNUJnCMS7
Formal Introduction,fIREHOSE,spotify:track:4e39kiVzB5QqCyK0tenmcZ
Don't Push Your Luck,Wally Jump Jr.,spotify:track:04cs67MT9msfmQDmhFaXN0
Gardenhead / Leave Me Alone,Neutral Milk Hotel,spotify:track:3Mr3ZUFtC1DKFmFeD5mF8P
Once,Pearl Jam,spotify:track:71bYEROSTB7Ca8g6PbQKV1
Peppermint Twist,Joey Dee,spotify:track:3qaxvM6GoaZEiOySyYV4e2
After The Lovin',Engelbert Humperdinck,spotify:track:5JoH1PWKf13uHdEH8EJDAb
My Flaming Red Bobsled,Cub,spotify:track:36zzT4askdEGtNd3y8I0tZ
"Inherit The Wind - 12"" Version",Wilton Felder,spotify:track:43XY9s9zUjedNh6ALN1y4Q
